name,wins,losses,total_strikes,avg_sig_str,avg_sig_str_att,sig_str_accuracy,avg_td,avg_td_att,td_accuracy,avg_sub_att,avg_ctrl_time,total_kd,avg_fight_duration,weight_class_numeric,experience_diff,age_difference,r_odds,b_odds
Jordan Espinosa,1,2,54,18,41.33,0.44,0.33,1.33,0.25,0,30.5,0,178.67,125,2.33,1,-25,1.67
Jordan Griffin,1,2,157,36,72.33,0.5,0.33,1.33,0.25,4.5,213,0,272.67,145,2,2.33,-51.67,33.33
Jordan Johnson,4,0,768,43.75,91.75,0.48,2.75,6.5,0.42,2,669.5,0,235.5,185,0.75,1.25,-10,-22.5
Jordan Mein,5,4,371,31.22,65.89,0.47,1.56,2.56,0.61,0.33,258.5,3,217,170,1.78,5.44,-15.56,-10.56
Jordan Rinaldi,1,3,356,18.75,54.5,0.34,1.25,3.5,0.36,1,312.33,0,296.5,145,2,4,-86.25,22.5
Jorge Lopez,0,2,103,37,62,0.6,3.5,8.5,0.41,NA,NA,0,300,170,3.5,7,107.5,-247.5
Jorge Masvidal,12,5,2592,54.65,109.65,0.5,0.94,1.76,0.53,0.79,290.6,18,256.24,170,3.94,1.94,-55.88,-6.76
Jorge Rivera,2,1,101,14.33,45,0.32,0,0,NA,0,102.5,3,78,185,2.67,4.33,-128.33,101.67
Jorge Santiago,0,3,194,25,74,0.34,0,1,0,NA,NA,0,289.67,170,2.67,3.67,-253.33,230
Jorge de Oliveira,0,2,146,11.5,36,0.32,0,0,NA,0,0,0,246,155,1,9.5,-132.5,90
Jose Aldo,9,5,1792,54.79,131.5,0.42,0.86,1.36,0.63,0.25,141.92,8,259.64,135,3,3.29,-240.71,180
Jose Maria,0,2,80,31,58,0.53,1.5,5.5,0.27,3,129,0,131,125,9,8,-257.5,230
Jose Quinonez,5,2,310,37.14,76,0.49,1.71,4.14,0.41,0.5,312.25,3,234.57,135,2.29,3,-92.86,62.86
Jose Torres,1,1,55,25.5,69,0.37,0.5,1.5,0.33,NA,NA,0,200.5,125,2.5,1,2.5,-22.5
Joseph Benavidez,15,4,2164,46,126.37,0.36,1.26,4.11,0.31,0.24,199.03,12,253.89,125,4.47,2.84,-330.53,266.47
Joseph Morales,0,2,39,16.5,49.5,0.33,0.5,1,0.5,4,52,0,287,125,1.5,5.5,117.5,-137.5
Joseph Sandoval,0,2,3,1.5,3.5,0.43,0,0,NA,0,0,0,49.5,135,0.5,2.5,175,-192.5
