name,wins,losses,total_strikes,avg_sig_str,avg_sig_str_att,sig_str_accuracy,avg_td,avg_td_att,td_accuracy,avg_sub_att,avg_ctrl_time,total_kd,avg_fight_duration,weight_class_numeric,experience_diff,age_difference,r_odds,b_odds
Neil Seery,3,4,503,49.14,119.43,0.41,0.71,2.57,0.28,2.58,101.33,2,271.86,125,2,7.57,-277.43,206.43
Nicco Montano,1,1,602,112,267.5,0.42,3,5.5,0.55,1,743,0,300,135,2.5,3.5,-230,192.5
Nick Catone,1,2,160,18.33,44.67,0.41,2.67,7.33,0.36,0,403,0,158.33,185,4,4.33,-66.67,-13.33
Nick Denis,1,1,48,17.5,33,0.53,0.5,0.5,1,NA,NA,1,160.5,135,0,1.5,245,-277.5
Nick Diaz,1,2,454,108,244,0.44,0.33,1,0.33,0.5,223.5,0,300,170,2.33,2.67,-210,175
Nick Hein,3,4,317,32.86,96.43,0.34,0.86,2.57,0.33,0,101.5,2,293,155,1.86,3.14,-161.43,135.71
Nick Osipczak,0,3,177,39,72.67,0.54,1.33,3.33,0.4,1,339,2,300,170,2.33,2.67,75,-111.67
Nick Pace,1,2,132,26.67,76.33,0.35,3.33,5.33,0.62,NA,NA,0,291,135,1.67,4.33,-231.33,206.33
Nick Penner,0,2,32,6,20,0.3,0,0,NA,0,118,1,287,205,2.5,4,-2.5,-7.5
Nick Ring,3,3,442,52,121.83,0.43,1.33,3.67,0.36,0.4,206.4,0,285.5,185,4.33,5.33,-52.17,35.5
Nick Roehrick,0,1,29,28,160,0.17,0,0,NA,NA,NA,0,128,205,8,4,-350,290
Nicolae Negumereanu,0,1,20,11,27,0.41,0,0,NA,NA,NA,0,300,205,2,8,-170,150
Nicolas Dalby,2,2,231,35.75,106.25,0.34,1.75,4,0.44,0,308.5,0,300,170,5.5,1.75,107.5,-185
Nik Lentz,13,8,3230,41.95,84.05,0.5,2.76,8.57,0.32,1.64,471.07,4,249.1,145,7.29,3.62,-93.38,28.14
Nikita Krylov,8,5,1464,30,50.54,0.59,0.62,1.62,0.38,1.28,280.17,6,166,205,1.92,8.85,-69,16.31
Niklas Backstrom,1,2,36,7.67,18.33,0.42,1.33,1.67,0.8,2.5,209,0,211.33,145,0.33,4.67,-478.33,346.67
Niko Price,5,3,191,15.5,41.12,0.38,0.25,1.38,0.18,0.29,95,4,160.88,170,3,3.62,-172.5,120.62
Noad Lahat,2,2,215,26.5,56.5,0.47,1.5,5.75,0.26,4,391.67,0,195.5,145,1.25,4.25,-116.25,82.5
Nohelin Hernandez,0,2,37,14,41,0.34,0.5,1,0.5,NA,NA,0,188,135,4.5,1,-352.5,285
Nolan Ticman,0,2,166,38.5,81,0.48,0,2.5,0,NA,NA,0,300,125,4,5,-80,55
Nordine Taleb,7,5,1254,37.75,73.83,0.51,1.33,1.75,0.76,0,262.38,4,244.25,170,4,5.92,-116.67,71.25
Norifumi Yamamoto,0,3,65,17.33,47.33,0.37,0.67,2.67,0.25,NA,NA,0,289.67,135,1.33,6.33,-265,167.67
Norma Dumont,0,1,14,5,16,0.31,1,3,0.33,NA,NA,0,211,145,2,1,-245,205
Norman Parke,4,3,348,45,128.14,0.35,1.57,6.71,0.23,0,533.83,0,288.71,155,3.14,3.71,-68.71,41.57
Oli Thompson,0,2,61,23.5,48.5,0.48,0,2,0,1,54,0,244.5,265,4,6,-5,-15
Oliver Enkamp,0,1,44,34,101,0.34,1,5,0.2,NA,NA,0,300,170,8,10,275,-335
Olivier Aubin-Mercier,7,4,536,28.91,53.55,0.54,1.91,5.36,0.36,0.83,432.25,2,225,155,2.82,3,-212.27,137.27
Oluwale Bamgbose,1,4,147,15.6,32.4,0.48,0.4,1.2,0.33,0,75.75,2,142.4,185,3,3.4,-212,179
Omari Akhmedov,7,2,1018,38.44,110.44,0.35,2.33,4.56,0.51,0.29,340.29,4,259.11,185,2.22,3.89,-36.67,-28.33
Oskar Piechota,2,3,190,25.2,45.6,0.55,0.4,0.8,0.5,2.17,204.5,3,234.4,185,2,2,-146,106
Ottman Azaitar,1,0,27,27,53,0.51,0,0,NA,NA,NA,1,213,155,3,2,-190,165
Ovince Saint Preux,11,8,483,21.53,51.11,0.42,0.68,2.21,0.31,0.56,123.5,3,173.63,205,4.21,4.32,-103.68,52.11
Pablo Garza,2,3,239,26.2,62.2,0.42,0.6,2.2,0.27,NA,NA,1,190,145,1.8,3.4,-205,185
Paddy Holohan,2,2,260,28,58.5,0.48,2.75,5.5,0.5,NA,NA,0,287.25,125,1.75,5.5,-207.5,172.5
Paige VanZant,5,2,1490,43.86,84,0.52,1.14,3.29,0.35,1.2,595.9,2,158.14,125,1.43,5.86,-240.71,151.43
Pannie Kianzad,1,1,142,65.5,160.5,0.41,0.5,1.5,0.33,NA,NA,0,300,135,1.5,3.5,-177.5,47.5
Papy Abedi,1,3,260,24.25,44,0.55,2,3.5,0.57,1.5,402,0,219.25,185,0.75,4.25,-238.75,217.5
Pascal Krauss,2,2,496,66.75,140.25,0.48,1.25,2.5,0.5,1.5,409,0,284.5,170,1,1.33,-105,80
Pat Barry,3,5,147,15.62,25.88,0.6,0,0.25,0,0.14,47.29,5,171.38,265,1.75,4.25,-91.75,79.25
Pat Healy,0,4,343,47.25,154,0.31,1,7,0.14,0,224,0,300,155,6.25,2.25,-11.25,-3.75
Pat Schilling,0,1,27,27,108,0.25,0,17,0,NA,NA,0,300,145,14,3,-140,130
Patrick Cote,6,6,1628,38.67,81,0.48,0.67,3.33,0.2,0.33,201.22,4,225.5,170,3.75,3.08,16.83,-38.08
Patrick Cummins,5,7,634,37.42,74.08,0.51,2.25,5.92,0.38,0.25,410.75,0,230.33,205,3,3.75,-154.58,75
Patrick Walsh,1,1,324,30.5,160,0.19,3,5.5,0.55,3,666,0,300,185,2.5,7.5,157.5,-172.5
Patrick Williams,1,3,127,28.5,55.25,0.52,1.25,3,0.42,0.33,69,1,115.5,135,2,7,-12.5,-101.25
Paul Bradley,0,2,176,38,106,0.36,1.5,8,0.19,NA,NA,0,300,170,5.5,2,-85,65
Paul Buentello,0,1,5,3,29,0.1,0,0,NA,NA,NA,0,76,265,2,2,-345,315
Paul Craig,4,4,267,17.5,36.38,0.48,1,4.75,0.21,1.86,197,1,239.12,205,2.12,3.38,-86.25,26.25
Paul Daley,0,1,14,11,28,0.39,0,0,NA,NA,NA,0,300,170,7,5,-250,230
Paul Felder,7,5,1454,50.08,112.83,0.44,0.25,0.83,0.3,1,244.22,4,257.75,155,4.58,3.25,-98.33,71.25
Paul Kelly,2,2,290,34.25,78.25,0.44,0.25,0.25,1,3.67,244.33,1,236.25,155,4.5,2.5,-90,7.5
Paul Redmond,0,1,16,2,7,0.29,0,2,0,NA,NA,0,300,145,0,4,-925,725
Paul Sass,2,2,50,3.5,13.25,0.26,0.25,1.5,0.17,6,63.33,0,248.25,155,2.75,4.75,-143.75,82.5
Paul Taylor,1,1,187,88.5,178.5,0.5,0,2,0,0,198,1,201,155,1,3.5,-210,175
Paulo Costa,5,0,316,61.4,106.2,0.58,0,0.2,0,0,20,4,136.8,185,2.8,8.4,80,-125
Paulo Thiago,2,7,298,22.11,56.89,0.39,1.33,4.22,0.32,2.29,166.79,0,252.44,170,1.89,2.67,-88.67,67
Pawel Pawlak,1,2,207,25,74,0.34,1,2.67,0.38,0,197,0,300,170,3.67,3,-23.33,-18.33
Pearl Gonzalez,0,2,132,32,85,0.38,1,9,0.11,1,687,0,262.5,115,1.5,1.5,-70,40
Pedro Munhoz,8,4,676,50.08,118,0.42,0.58,2.75,0.21,1.11,88.74,5,242,135,3,2.83,-157.92,118.17
Peggy Morgan,0,1,45,34,147,0.23,0,0,NA,NA,NA,0,300,135,0,7,-245,225
Peter Sobotta,4,4,401,25.5,64.88,0.39,1.25,3.38,0.37,1,503.25,4,243.25,170,3,4.62,-96.25,63.12
Petr Yan,5,0,405,67.4,146.8,0.46,1.2,2.6,0.46,0.25,100.25,4,281.6,135,2.4,4,13,-160
Phil Baroni,0,1,23,11,16,0.69,0,0,NA,NA,NA,1,260,185,0,11,240,-280
Phil Davis,7,3,595,39.1,119,0.33,2.4,7.2,0.33,1,480.6,0,283.9,205,2.8,2.9,-132.6,71.6
Phil Harris,1,3,112,24.25,92.75,0.26,1.25,5.25,0.24,0,122,0,247.25,125,2,3.75,26.25,-51.25
Philip De Fries,2,3,115,12.6,26.6,0.47,1.2,2.8,0.43,0.5,428.67,1,148.4,265,2.2,4.8,-103,66
Phillipe Nover,1,2,128,23.67,80.67,0.29,2,5.67,0.35,0,390.5,0,300,145,4.67,4,-286.67,203.33
Piotr Hallmann,2,4,513,46.83,101.83,0.46,2,4.5,0.44,0.4,449.8,0,206,155,5.5,4.17,-123.33,101.67
Poliana Botelho,3,1,656,32.25,55.5,0.58,0.75,0.75,1,0,161.67,2,230.25,125,0.75,1.5,65.25,-82.75
Polyana Viana,1,2,236,45,107,0.42,0.67,2.33,0.29,3,137,0,276.67,115,1.33,3.67,-28.33,-21.67
Priscila Cachoeira,1,3,157,38.5,103.25,0.37,0,0.5,0,0,24,1,226.25,125,1.75,2.25,-316.25,196.25
Punahele Soriano,1,0,26,26,44,0.59,1,1,1,NA,NA,2,197,185,1,3,-125,105
Quinn Mulhern,0,2,66,12.5,56.5,0.22,0,5,0,NA,NA,0,242.5,155,2.5,1.5,-267.5,242.5
Rachael Ostovich,0,2,61,25,55,0.45,2,2,1,NA,NA,0,185.5,125,2,3.5,-160,140
Rafael Dos Anjos,16,9,3488,50.88,105.28,0.48,1.52,3.92,0.39,0.77,372.64,10,246.08,170,6.12,3.28,-83.16,48.28
Rafael Fiziev,1,0,73,66,131,0.5,1,1,1,NA,NA,0,300,155,2,4,165,-190
Rafael Natal,9,5,992,44.64,92.43,0.48,2.21,6.79,0.33,0.7,369.45,5,272.57,185,3.79,3.29,-122.79,83
Rafaello Oliveira,1,5,305,22.5,66.5,0.34,0.67,4,0.17,2.5,369.5,0,193.33,155,4.83,3.33,-130.33,87.5
Ramazan Emeev,3,0,304,37.67,79.67,0.47,2,6,0.33,1,423,2,300,170,1,3.33,-133.33,56.67
Ramsey Nijem,5,3,569,30,62,0.48,3.62,5.88,0.62,NA,NA,3,222.5,155,2.25,2.88,-83.75,65.62
Randa Markos,6,5,834,42.09,95,0.44,1.27,3.91,0.33,0.38,324.96,0,294.36,115,3.09,2.91,-106.82,61.36
Randy Brown,6,3,411,35.89,74.78,0.48,0.67,1.44,0.46,0.95,335.45,2,164.33,170,2.56,1.33,-1.67,-33.33
Randy Costa,1,1,72,34,72.5,0.47,0,0,NA,0,44,2,103.5,135,0.5,4,-30,7.5
Randy Couture,1,1,92,6.5,17,0.38,0.5,2,0.25,2,188,0,132,205,4.5,10,-475,409
Rani Yahya,10,4,1642,22.36,62.14,0.36,2.43,7.07,0.34,2.5,507.8,0,253.64,135,3.64,3.57,-129.64,45
Raoni Barcelos,4,0,600,54.5,108,0.5,1.75,3,0.58,0.67,383.33,4,232.5,135,0.75,4.75,-491.5,349.75
Raphael Assuncao,10,4,1536,44.36,108.07,0.41,1.21,3.21,0.38,0.17,101.08,2,255,135,2.93,4.36,-114.64,79.86
Raquel Pennington,5,4,685,49.33,110.78,0.45,0.89,4.44,0.2,1.05,442.45,0,284,135,2.33,3.78,1.67,-65.56
Rashad Coulter,1,3,386,43.5,79,0.55,0,0.75,0,0,25.5,2,256,205,1,8.75,-48.75,-71.25
Rashad Evans,4,7,958,30.82,83.64,0.37,0.82,3.64,0.22,0,254.25,0,254,205,2.27,4.91,-211.64,177.82
Rashid Magomedov,5,1,501,66,134.5,0.49,0.67,1.17,0.57,NA,NA,5,299.5,155,1.83,3.5,140.83,-199.17
Raulian Paiva,1,2,145,41.33,108.33,0.38,0,1.33,0,NA,NA,1,252.67,125,1,2.33,13.33,-48.33
Ray Borg,7,4,830,19.64,37.55,0.52,4.09,8,0.51,2.1,852.03,0,264.36,125,3.55,4.91,-297.27,220
Reginaldo Vieira,0,2,108,42,123,0.34,2.5,8.5,0.29,NA,NA,0,242,135,1,4.5,-85,55
Renan Barao,9,7,2302,56.44,151.44,0.37,1.38,3.5,0.39,0.56,260.96,8,226.12,145,3.44,2.94,-274.06,210.94
Renato Moicano,6,2,866,50.62,108.25,0.47,0.88,1.5,0.58,0.75,74.5,2,205.75,155,2.62,3.25,-27.5,-24.38
Renee Forte,1,3,286,23.5,73,0.32,1.75,3,0.58,0,507.33,2,227.75,155,3.25,2.75,-217.5,198.75
Renzo Gracie,0,1,34,34,109,0.31,0,1,0,NA,NA,0,280,170,1,7,-380,340
Reuben Duran,1,3,270,36.75,75,0.49,0.75,3.25,0.23,1,474,0,240.5,135,1.5,1.25,-117.5,92.5
Reza Madadi,3,4,348,32.29,69.43,0.47,2.71,8,0.34,1,410.75,0,213.86,155,2.71,6.57,-95.71,57.86
Ricardo Abreu,1,1,112,40,126,0.32,1.5,3.5,0.43,NA,NA,2,183,185,2,3,-247.5,222.5
Ricardo Almeida,2,2,193,30.25,56,0.54,3,9.25,0.32,0.5,738.5,0,251.25,170,3,3.75,-6.75,-13.25
Ricardo Funch,0,2,107,38.5,56,0.69,1,5,0.2,0,510,0,150,170,3,0.5,-57.5,22.5
Ricardo Lamas,10,6,665,31,65.94,0.47,1,3.56,0.28,1.33,252.47,2,244.19,145,3.69,4.12,-171.56,107.06
Ricardo Ramos,5,1,450,32.17,81.67,0.39,1.5,2.33,0.64,0.6,115.4,4,233.83,145,1.5,6.17,-164.17,121.67
Ricardo Romero,1,2,25,6.67,12,0.56,0.33,3.33,0.1,NA,NA,0,84.33,205,2.33,2.33,37.67,-54.33
Rich Attonito,3,2,512,27.6,57.6,0.48,0.6,1.6,0.38,0,385.67,4,247,170,2.2,4.8,17.6,-79
Rich Franklin,1,2,158,23,59,0.39,0.33,0.67,0.5,0,13,2,244,185,1,3.67,-150.33,127
Richard Walsh,2,4,510,49.5,105.83,0.47,1.33,3.33,0.4,0.25,401.5,3,273.17,170,1.67,4.5,-232.5,201.67
Richardson Moreira,0,2,70,9,31.5,0.29,0,3,0,0,158,0,160,185,3,1.5,-2.5,-7.5
Richie Smullen,0,1,15,7,9,0.78,2,3,0.67,NA,NA,0,212,155,5,2,-380,315
Richie Vaculik,0,3,185,46.33,101.67,0.46,1.67,1.67,1,NA,NA,0,200.33,125,1,6.33,161.67,-188.33
Rick Story,10,6,1229,50.94,116.25,0.44,1.94,4.5,0.43,0.75,426.35,6,247.75,170,5.06,3.12,-76.12,52.94
Ricky Rainey,0,1,6,6,12,0.5,0,0,NA,NA,NA,0,78,170,1,0,-340,280
Ricky Simon,3,2,217,35.2,91,0.39,3.8,9.6,0.4,0.25,485.5,2,249.2,135,3.4,5.6,11,-114
Riki Fukuda,2,2,556,76.5,165,0.46,3.25,5.25,0.62,0,523,0,300,185,0.75,4.25,-90,70
Rin Nakai,0,2,110,23.5,69.5,0.34,3,16,0.19,NA,NA,0,300,135,4.5,2,-220,195
Roan Carneiro,2,2,140,13.25,34,0.39,0.5,2.75,0.18,0.33,212.33,0,214.5,170,4,4,-212.5,168.75
Rob Broughton,1,2,314,39.33,65.33,0.6,0,0.33,0,5,165,0,234.33,265,4.67,1.67,-43.33,18.33
Rob Emerson,0,1,45,24,74,0.32,0,1,0,NA,NA,1,300,155,12,3,130,-150
Rob Font,7,3,535,49.2,119.5,0.41,0.8,2.2,0.36,1,139.8,5,248.2,135,2.1,3.5,-152.5,127
Rob Kimmons,1,2,180,18.33,36.67,0.5,1.67,3.33,0.5,1,294.5,0,226.67,185,1.33,2,-76.67,41
Rob Wilkinson,0,2,67,23,46,0.5,2.5,10,0.25,0,384,0,203.5,185,3,4.5,87.5,-127.5
Robbie Lawler,9,5,1108,66.21,139.5,0.47,0.29,0.43,0.67,0,126.84,5,231.36,170,4.14,3.43,-157.14,116.07
Robert Peralta,4,3,388,37.57,82.57,0.46,0.57,0.86,0.67,0,168.9,2,214.57,145,2.57,3,-98.57,75
Robert Whittaker,10,3,1652,55.62,139.62,0.4,0.31,0.54,0.57,0,116.57,14,226.08,185,2.31,6.46,-58.85,35
Rocky Lee,0,1,49,37,72,0.51,1,10,0.1,NA,NA,0,300,145,1,5,-150,130
Rodney Wallace,0,2,52,18,37.5,0.48,5.5,9,0.61,NA,NA,0,300,205,4,1.5,220,-380
Rodolfo Vieira,2,0,47,11.5,24.5,0.47,2.5,4.5,0.56,NA,NA,0,222,185,3,1.5,-397.5,332.5
Rodrigo Damm,3,4,708,49.43,135,0.37,0.43,2.43,0.18,0.58,87.58,0,254,155,2.29,3.86,-148.57,103.29
Rodrigo de Lima,0,2,124,14.5,43,0.34,2,5.5,0.36,NA,NA,0,226,155,6.5,4,-67.5,47.5
Roger Bowling,0,2,48,18,54.5,0.33,0.5,1,0.5,NA,NA,0,133.5,155,2,2,-22.5,12.5
Roger Gracie,0,1,14,12,29,0.41,2,4,0.5,NA,NA,0,300,185,2,2,-155,145
Roger Hollett,0,2,64,27.5,58,0.47,1,3.5,0.29,NA,NA,0,300,205,5,1.5,-302.5,277.5
Roger Narvaez,1,2,166,22.33,60.33,0.37,0,0.67,0,NA,NA,2,231.67,185,4,4.33,-355,320
Roger Zapata,0,1,53,28,54,0.52,0,1,0,NA,NA,0,47,170,3,1,-115,-105
Rogerio Bontorin,1,1,32,8.5,17.5,0.49,1,3.5,0.29,NA,NA,0,238,125,2,2,115,-135
Rogerio Nogueira,5,5,354,27.3,75,0.36,0.1,0.1,1,0.29,46.71,3,214.9,205,3,6.1,-96.5,45.5
Roland Delorme,3,1,216,21.5,40,0.54,2.5,5.5,0.45,NA,NA,1,230.25,135,0,3.25,34.75,-104.75
Rolando Dy,0,3,131,41.67,100.67,0.41,0.33,1.33,0.25,0,43,0,293.33,145,4.67,2,-110,76.67
Roman Kopylov,0,1,38,37,95,0.39,0,1,0,NA,NA,0,241,185,3,1,-145,125
Roman Salazar,0,1,67,14,29,0.48,1,7,0.14,NA,NA,0,135,135,9,5,-125,105
Ron Stallings,1,2,129,28,46,0.61,0,0,NA,0,61,0,221.67,185,0.33,2.33,-215,126.67
Ronda Rousey,6,2,257,14.75,28.38,0.52,1,1.38,0.73,0.71,101.71,2,73,135,1.75,3.12,-723.12,531.88
Ronny Markes,3,1,496,26.75,39.75,0.67,2.5,6,0.42,0.67,754.67,0,238.25,185,2.25,6.25,-206.25,146.25
Rony Jason,3,4,219,16.29,38.14,0.43,0.43,1.14,0.38,0.5,109.83,2,193.86,145,2.43,3.71,-203.57,177.86
Ronys Torres,0,1,32,20,50,0.4,3,4,0.75,NA,NA,0,300,155,3,5,190,-230
Roosevelt Roberts,3,1,208,32,76.25,0.42,1,1.75,0.57,0.33,352,0,297.5,155,1.25,6.75,-236.25,182.5
Rory MacDonald,8,4,787,54.92,129.25,0.42,1.58,3.42,0.46,0.38,282.25,1,242.92,170,2.75,7.58,-152.5,101.25
Rory Markham,0,1,3,3,22,0.14,0,0,NA,NA,NA,0,167,170,7,4,-235,195
Rose Namajunas,5,3,450,48.62,120.75,0.4,1.88,3.5,0.54,1,255.5,2,207.38,115,1.12,4.38,-161.88,68.75
Rosi Sexton,0,2,226,61,153,0.4,1,5,0.2,0,397,0,300,135,2,10.5,-195,157.5
Ross Pearson,10,13,3534,42.52,108.87,0.39,0.65,1.52,0.43,0,68.59,18,237.83,155,5,3.09,-2.26,-49.78
Rostem Akman,0,2,55,27,105,0.26,1,2.5,0.4,0,203,0,300,170,0,2,-167.5,110
Rousimar Palhares,5,3,326,10,18,0.56,0.38,0.88,0.43,2.33,86.07,2,153.38,170,1.75,2.12,-160.62,132.5
Roxanne Modafferi,3,4,1338,47.71,154,0.31,1.43,5.29,0.27,0.5,532.9,2,287.43,125,2.29,6,107.86,-180.71
Roy Nelson,6,9,528,23.8,63.6,0.37,0.87,3.07,0.28,0.1,308.5,5,234.73,265,3.6,5.2,-177.13,133.13
Royston Wee,2,0,172,13,20.5,0.63,4.5,5.5,0.82,0,1304,0,300,135,1,6.5,187.5,-205
Ruan Potts,0,3,60,5.67,15,0.38,0.33,2,0.17,1.5,54,0,198.33,265,4.67,3.33,-270,208.33
Ruslan Magomedov,3,0,201,60.33,126,0.48,0.33,0.33,1,0,128,1,300,265,1.67,3.33,31.67,-50
Russell Doane,3,4,302,18.71,45.71,0.41,1.57,3.43,0.46,1.7,411.3,2,246.86,135,3.14,3.14,-165.71,130.71
Rustam Khabilov,9,3,1050,25.58,74,0.35,3.58,8.17,0.44,0,432.38,0,255.25,170,2.08,2.33,-189.17,134.58
Ryan Bader,9,5,571,24.93,58.79,0.42,1.71,4.21,0.41,0.57,344.57,3,193.79,205,2.86,5.29,-191.79,152.36
Ryan Benoit,3,2,147,25.6,68,0.38,0.2,1,0.2,0,56.17,4,201.4,125,1.6,4.6,-275,189
Ryan Couture,0,2,82,37,116,0.32,0.5,6.5,0.08,NA,NA,0,262.5,155,10.5,3.5,247.5,-270
Ryan Hall,3,0,202,29.33,71.67,0.41,0,1,0,NA,NA,4,255.33,145,5.33,3.67,131.67,-243.33
Ryan Janes,2,2,428,81.75,169.5,0.48,0.25,0.25,1,NA,NA,0,188,185,1.25,6.25,-317.5,237.5
Ryan Jensen,1,2,53,13,38,0.34,0.33,1,0.33,NA,NA,1,81.33,185,1.67,5.33,-95,71.67
Ryan Jimmo,3,4,313,29.57,44.71,0.66,0.29,1,0.29,0,470.5,4,226.43,205,1.71,2.86,-152.86,114.29
Ryan LaFlare,6,3,553,43.33,108.22,0.4,1.67,4.33,0.38,0.25,445.6,2,252.22,170,2.67,3.67,-57.78,6.67
Ryan MacDonald,0,2,46,22.5,77.5,0.29,0,1.5,0,0,52,0,291.5,135,5.5,1,15,-65
Ryan McGillivray,0,1,25,19,91,0.21,0,1,0,NA,NA,0,300,170,0,4,250,-300
Ryan Spann,3,0,80,25.33,59,0.43,0.33,1,0.33,2,244,1,182.67,205,1,6,-58.33,-28.33
Sabah Homasi,0,3,88,26.67,55,0.48,1,2,0.5,0,98.5,0,221.33,170,5.67,3.67,-28,-18.33
Sabina Mazo,2,1,364,96.67,212.67,0.45,1.33,1.33,1,NA,NA,0,300,125,1,5.33,-138.33,55
Sage Northcutt,6,2,878,33.38,63.75,0.52,1.12,3.25,0.35,0.43,110.86,4,184.62,170,2.62,8.38,-242.5,127.25
Sai Wang,1,0,111,64,124,0.52,0,2,0,NA,NA,0,300,170,1,1,175,-190
Said Nurmagomedov,2,1,360,45.67,103,0.44,0.33,4.33,0.08,NA,NA,2,249.33,135,1.33,2.67,-142,54.67
Sako Chivitchian,0,1,54,36,132,0.27,0,1,0,NA,NA,0,300,155,0,4,150,-170
Salim Touahri,0,3,156,39,83,0.47,0,1,0,0,89,0,300,170,1,2.67,65,-95
Sam Alvey,10,8,1350,28.78,64.5,0.45,0.06,0.33,0.17,0.09,73.88,14,232.72,205,4.33,4.67,-65,32.5
Sam Sicilia,4,7,700,22.18,67.82,0.33,0.82,2,0.41,1.5,337.71,2,201.82,145,3.55,3.55,-61.18,41.18
Sam Stout,4,7,1210,46.45,158.27,0.29,0.73,2,0.36,0.12,106.25,4,226.91,155,3.36,3.09,-125.73,87.91
Santiago Ponzinibbio,8,2,504,46.9,118,0.4,0.4,0.9,0.44,0,83.33,8,244.5,170,0.9,2.6,37.1,-80.1
Saparbeg Safarov,1,3,386,30,62.25,0.48,1.25,3,0.42,NA,NA,0,221.5,185,2.5,4.25,-307.5,261.25
Sara McMann,6,5,460,19.45,44.36,0.44,1.82,3.55,0.51,0.44,465.06,1,218.82,135,2.45,5.91,-290,232.73
Sarah Frota,0,2,222,20.5,55,0.37,0,0,NA,NA,NA,0,276.5,125,1,5.5,-190,160
Sarah Kaufman,1,2,450,98,181.33,0.54,0.67,1.67,0.4,0,312,0,262.33,135,1.67,2,-67.33,-25
Sarah Moras,2,4,345,25.67,62.83,0.41,0.67,3.17,0.21,2,347.33,0,226.5,135,2,3.5,-189.17,119.17
Scott Askham,2,3,198,23.8,49.8,0.48,0.2,1.6,0.12,0.75,224.75,4,271.4,185,1.8,1.6,-193,123
Scott Holtzman,7,3,1030,63.9,127.9,0.5,2.1,3.5,0.6,0.48,571.1,4,278.2,155,3.5,2.9,-50,-26.2
Scott Jorgensen,4,8,1068,32.75,83.25,0.39,1.75,4.33,0.4,0.29,267.03,2,262.25,135,2.92,2.92,-122.5,90.42
Sean Brady,2,0,273,83,150.5,0.55,3,6,0.5,1,520,1,300,170,0.5,6,127.5,-147.5
Sean McCorkle,1,2,20,4,9,0.44,0.67,1.67,0.4,2,171,0,182.67,265,5,8,-43.33,18.33
Sean O'Connell,2,4,310,32.5,66,0.49,0,1,0,NA,NA,2,156.67,205,1.67,4.17,-229.17,185
Sean O'Malley,3,0,233,74,128.33,0.58,1,2,0.5,NA,NA,0,240.67,135,0.33,6,-235,205
Sean Pierson,4,2,464,49.67,124.67,0.4,0.33,1.83,0.18,0.5,279,1,277,170,2.5,9,-103.33,82.5
Sean Sherk,1,0,81,38,115,0.33,5,18,0.28,NA,NA,0,300,155,14,8,167,-178
Sean Soriano,0,3,129,37.33,61,0.61,1,2.33,0.43,0,278,0,211,145,2.67,6,-19,-59.33
Sean Spencer,3,5,1028,57,175.75,0.32,0.12,0.38,0.33,0,95.17,6,243.38,170,2.38,3.5,-1.88,-18.12
Sean Strickland,5,3,1032,53.88,155,0.35,1.25,1.88,0.67,NA,NA,6,271.88,170,2,5.12,29.38,-88.12
Sean Woodson,1,0,150,111,251,0.44,0,0,NA,NA,NA,0,300,145,2,6,-115,-105
Sergei Pavlovich,2,1,56,16.67,31.67,0.53,0,0.67,0,0,14,2,152.67,265,0.67,6,5,-41.67
Sergey Khandozhko,1,1,248,42.5,100,0.42,0.5,3,0.17,NA,NA,1,300,170,0,3.5,-55,25
Serghei Spivac,1,2,81,16.67,42.67,0.39,2,3,0.67,NA,NA,0,181.33,265,2.33,7.33,-131.67,98.33
Sergio Moraes,8,4,410,29.75,72.17,0.41,1.17,2.5,0.47,0.5,201.25,1,248.58,170,2.33,4.42,-226.92,165.5
Sergio Pettis,8,5,1904,57,152.92,0.37,0.92,2.23,0.41,0.38,155.4,2,282.54,125,4.15,8,-40.23,-5.54
Seth Baczynski,3,5,576,28.88,94.62,0.31,0.25,2.5,0.1,1.33,159.27,4,224,170,5.12,3.62,-133.12,84.75
Seth Petruzelli,0,2,54,16.5,36,0.46,0,0.5,0,NA,NA,1,205.5,205,0,3.5,22.5,-142.5
Shamar Bailey,1,1,196,34,137.5,0.25,2.5,7,0.36,NA,NA,0,300,155,5,2.5,-82.5,35
Shamil Abdurakhimov,5,2,330,28.71,63.43,0.45,1,4,0.25,0.17,154.5,2,220.43,265,2.14,4.29,-107.14,69.29
Shamil Gamzatov,1,0,82,64,138,0.46,0,1,0,NA,NA,0,300,205,0,2,-145,125
Shana Dobson,1,3,217,35,102.75,0.34,0.25,1,0.25,0,45.67,1,203.25,125,0.75,2.75,85,-111.25
Shane Burgos,5,1,658,87.33,166.17,0.53,0.17,0.17,1,0.25,69,5,192.33,145,1.67,3.83,-204.17,134.17
Shane Campbell,1,3,223,37.75,59.25,0.64,1,2.75,0.36,0,270,0,213.75,155,2.25,1,-3.75,-22.5
Shane Carwin,1,2,157,36.33,78,0.47,0.33,1.67,0.2,0,214,2,222.33,265,5,5.67,-50,40
Shane Howell,0,2,28,11,33.5,0.33,0,0,NA,NA,NA,0,218.5,125,3.5,7.5,-402.5,362.5
Shane Roller,2,4,192,20.67,57.83,0.36,0.83,3.83,0.22,2,309.8,1,185,155,1.5,3.5,-25.67,11.5
Shane Young,2,0,237,112,261.5,0.43,0.5,3.5,0.14,0,120,1,290,145,1,2.5,-117.5,75
Shane del Rosario,0,2,66,23,37,0.62,0.5,2,0.25,NA,NA,0,110,265,5,2.5,25,-45
