event_name,r_fighter,b_fighter,winner,weight_class,is_title_bout,gender,method,finish_round,total_rounds,time_sec,referee,r_kd,r_sig_str,r_sig_str_att,r_sig_str_acc,r_str,r_str_att,r_str_acc,r_td,r_td_att,r_td_acc,r_sub_att,r_rev,r_ctrl_sec,r_wins_total,r_losses_total,r_age,r_height,r_weight,r_reach,r_stance,r_SLpM_total,r_SApM_total,r_sig_str_acc_total,r_td_acc_total,r_str_def_total,r_td_def_total,r_sub_avg,r_td_avg,b_kd,b_sig_str,b_sig_str_att,b_sig_str_acc,b_str,b_str_att,b_str_acc,b_td,b_td_att,b_td_acc,b_sub_att,b_rev,b_ctrl_sec,b_wins_total,b_losses_total,b_age,b_height,b_weight,b_reach,b_stance,b_SLpM_total,b_SApM_total,b_sig_str_acc_total,b_td_acc_total,b_str_def_total,b_td_def_total,b_sub_avg,b_td_avg,kd_diff,sig_str_diff,sig_str_att_diff,sig_str_acc_diff,str_diff,str_att_diff,str_acc_diff,td_diff,td_att_diff,td_acc_diff,sub_att_diff,rev_diff,ctrl_sec_diff,wins_total_diff,losses_total_diff,age_diff,height_diff,weight_diff,reach_diff,SLpM_total_diff,SApM_total_diff,sig_str_acc_total_diff,td_acc_total_diff,str_def_total_diff,td_def_total_diff,sub_avg_diff,td_avg_diff
UFC 49: Unfinished Business,Karo Parisyan,Nick Diaz,Red,Welterweight,0,Men,Decision - Split,3,3,300,Mario Yamasaki,0,27,79,0.34,48,104,0.46,9,15,0.6,0,0,414,24,11,41,177.8,77.11,182.88,Orthodox,2.49,2.19,0.41,0.59,0.58,0.59,1,5.27,0,37,102,0.36,121,189,0.64,1,2,0.5,2,1,78,26,10,40,185.42,77.11,193.04,Southpaw,5.71,3.84,0.42,0.32,0.59,0.6,1,1.28,0,-10,-23,-0.02,-73,-85,-0.18,8,13,0.1,-2,-1,336,-2,1,1,-7.62,0,-10.16,-3.22,-1.65,-0.01,0.27,-0.01,-0.01,0,3.99
UFC 49: Unfinished Business,Yves Edwards,Josh Thomson,Red,Lightweight,0,Men,KO/TKO,1,3,272,Steve Mazzagatti,1,16,21,0.76,24,30,0.8,0,1,0,0,0,40,42,22,47,175.26,70.31,185.42,Southpaw,2.91,2.34,0.42,0.53,0.66,0.69,0.7,0.76,0,13,22,0.59,33,43,0.77,2,3,0.66,0,0,97,22,9,45,177.8,70.31,180.34,Orthodox,2.59,2.12,0.47,0.39,0.64,0.54,1.3,1.92,1,3,-1,0.17,-9,-13,0.03,-2,-2,-0.66,0,0,-57,20,13,2,-2.54,0,5.08,0.32,0.22,-0.05,0.14,0.02,0.15,-0.6,-1.16
UFC 48: Payback,Ken Shamrock,Kimo Leopoldo,Red,Heavyweight,0,Men,KO/TKO,1,3,86,John McCarthy,1,12,15,0.8,14,17,0.82,0,0,0,0,0,9,28,17,60,185.42,92.99,182.88,Orthodox,1.47,4.3,0.46,0.6,0.39,0.44,2.5,0.94,0,4,5,0.8,4,6,0.67,0,0,0,0,0,6,10,7,56,190.5,106.59,,Orthodox,0.76,2.12,0.83,1,0.3,0,2.3,4.55,1,8,10,0,10,11,0.15,0,0,0,0,0,3,18,10,4,-5.08,-13.6,,0.71,2.18,-0.37,-0.4,0.09,0.44,0.2,-3.61
UFC 48: Payback,Frank Trigg,Dennis Hallman,Red,Welterweight,0,Men,KO/TKO,1,3,255,Mario Yamasaki,0,20,41,0.48,34,56,0.61,0,0,0,0,0,200,21,9,51,175.26,77.11,180.34,Southpaw,2.79,1.9,0.46,0.47,0.56,0.75,0.8,2.35,0,1,6,0.16,14,19,0.74,0,1,0,2,0,0,53,20,48,175.26,70.31,182.88,Orthodox,1.12,1.96,0.44,0.3,0.43,0.25,2.1,1.79,0,19,35,0.32,20,37,-0.13,0,-1,0,-2,0,200,-32,-11,3,0,6.8,-2.54,1.67,-0.06,0.02,0.17,0.13,0.5,-1.3,0.56
UFC 48: Payback,Frank Mir,Tim Sylvia,Red,UFC Heavyweight Title,1,Men,Submission,1,5,50,Herb Dean,0,3,3,1,3,3,1,0,0,0,1,0,0,18,11,44,190.5,119.75,200.66,Southpaw,2.18,3.84,0.47,0.4,0.38,0.54,2,2.02,0,2,5,0.4,2,5,0.4,1,1,1,0,0,29,31,10,48,203.2,120.2,203.2,Orthodox,4.23,2.61,0.41,1,0.61,0.75,0.1,0.11,0,1,-2,0.6,1,-2,0.6,-1,-1,-1,1,0,-29,-13,1,-4,-12.7,-0.45,-2.54,-2.05,1.23,0.06,-0.6,-0.23,-0.21,1.9,1.91
UFC 48: Payback,Matt Hughes,Renato Verissimo,Red,Welterweight,0,Men,Decision - Unanimous,3,3,300,Steve Mazzagatti,0,11,23,0.47,17,31,0.55,3,6,0.5,1,1,809,45,9,50,175.26,77.11,185.42,Switch,2.14,1.36,0.53,0.5,0.53,0.35,1.2,2.95,0,7,13,0.53,87,95,0.92,0,0,0,4,1,12,7,5,50,185.42,77.11,,Orthodox,0.92,1.87,0.48,0.3,0.47,0.5,2.5,1.46,0,4,10,-0.06,-70,-64,-0.37,3,6,0.5,-3,0,797,38,4,0,-10.16,0,,1.22,-0.51,0.05,0.2,0.06,-0.15,-1.3,1.49
UFC 48: Payback,Evan Tanner,Phil Baroni,Red,Middleweight,0,Men,Decision - Unanimous,3,3,300,John McCarthy,0,73,102,0.71,118,148,0.8,5,12,0.41,0,0,365,32,8,53,182.88,83.91,187.96,Orthodox,3.05,2.64,0.59,0.43,0.56,0.25,1.3,2.55,0,23,67,0.34,60,104,0.58,0,1,0,0,0,3,15,18,47,175.26,77.11,182.88,Orthodox,2.77,3.93,0.45,0.47,0.4,0.6,0.5,1.46,0,50,35,0.37,58,44,0.22,5,11,0.41,0,0,362,17,-10,6,7.62,6.8,5.08,0.28,-1.29,0.14,-0.04,0.16,-0.35,0.8,1.09
UFC 48: Payback,Matt Serra,Ivan Menjivar,Red,Lightweight,0,Men,Decision - Unanimous,3,3,300,Mario Yamasaki,0,14,40,0.35,67,108,0.62,6,7,0.85,0,0,798,11,7,49,167.64,77.11,172.72,Orthodox,1.98,2.64,0.39,0.2,0.46,0.38,0.9,2.05,0,8,16,0.5,59,68,0.87,0,2,0,2,0,7,25,12,41,167.64,65.77,162.56,Orthodox,2.78,2.76,0.37,0.28,0.65,0.38,1,0.56,0,6,24,-0.15,8,40,-0.25,6,5,0.85,-2,0,791,-14,-5,8,0,11.34,10.16,-0.8,-0.12,0.02,-0.08,-0.19,0,-0.1,1.49
UFC 48: Payback,Georges St-Pierre,Jay Hieron,Red,Welterweight,0,Men,KO/TKO,1,3,102,Steve Mazzagatti,2,24,33,0.72,37,46,0.8,0,1,0,0,0,21,26,2,42,180.34,83.91,193.04,Orthodox,3.78,1.4,0.53,0.74,0.72,0.83,1.1,4.16,0,5,9,0.55,5,9,0.56,0,3,0,0,0,6,23,7,47,182.88,77.11,190.5,Orthodox,1.66,1.89,0.32,0.6,0.61,0.66,1,4.05,2,19,24,0.17,32,37,0.24,0,-2,0,0,0,15,3,-5,-5,-2.54,6.8,2.54,2.12,-0.49,0.21,0.14,0.11,0.17,0.1,0.11
UFC 48: Payback,Trevor Prangley,Curtis Stout,Red,Middleweight,0,Men,Submission,2,3,65,Herb Dean,0,12,18,0.66,45,57,0.79,2,4,0.5,2,0,309,34,11,51,185.42,83.91,190.5,Orthodox,2.59,2.02,0.6,0.55,0.48,0.74,1,3.38,0,5,7,0.71,23,27,0.85,0,0,0,0,0,4,11,12,50,185.42,83.91,,Southpaw,0.69,3.2,0.67,0,0.29,0.2,0,0,0,7,11,-0.05,22,30,-0.06,2,4,0.5,2,0,305,23,-1,1,0,0,,1.9,-1.18,-0.07,0.55,0.19,0.54,1,3.38
